idioma,cod_pais,pais,parametro,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,,,,,,,,,,,
esp,cl,Chile,15_anos_o_mas,,96.7,,96.3,,96.9,,96.4,,,,,,,,,,,,,,
esp,co,Colombia,15_anos_o_mas,93.4,93.6,,,94.2,94.2,94.7,,95.1,95.2,95.6,,,,,,,,,,,
esp,ec,Ecuador,15_anos_o_mas,91.9,91.6,92.1,93.3,94.2,94.5,94.4,92.8,,,93.6,,,,,,,,,,,
esp,uy,Uruguay,15_anos_o_mas,98.1,98.3,98.4,98.4,98.4,98.5,98.6,98.6,98.7,98.8,,,,,,,,,,,,
esp,cl,Chile,15_a_24_anos,,99.4,,99.0,,99.4,,99.0,,,,,,,,,,,,,,
esp,co,Colombia,15_a_24_anos,98.1,98.2,,,98.5,98.5,98.7,,98.9,98.8,99.0,,,,,,,,,,,
esp,ec,Ecuador,15_a_24_anos,98.7,98.7,98.8,98.6,99.1,99.1,99.1,99.3,,,98.8,,,,,,,,,,,
esp,uy,Uruguay,15_a_24_anos,98.8,98.9,99.0,98.9,98.8,98.9,99.2,98.9,98.9,99.0,,,,,,,,,,,,
eng,cl,Chile,15_plus_years,,96.7,,96.3,,96.9,,96.4,,,,,,,,,,,,,,
eng,co,Colombia,15_plus_years,93.4,93.6,,,94.2,94.2,94.7,,95.1,95.2,95.6,,,,,,,,,,,
eng,ec,Ecuador,15_plus_years,91.9,91.6,92.1,93.3,94.2,94.5,94.4,92.8,,,93.6,,,,,,,,,,,
eng,uy,Uruguay,15_plus_years,98.1,98.3,98.4,98.4,98.4,98.5,98.6,98.6,98.7,98.8,,,,,,,,,,,,
eng,cl,Chile,15_to_24_years,,99.4,,99.0,,99.4,,99.0,,,,,,,,,,,,,,
eng,co,Colombia,15_to_24_years,98.1,98.2,,,98.5,98.5,98.7,,98.9,98.8,99.0,,,,,,,,,,,
eng,ec,Ecuador,15_to_24_years,98.7,98.7,98.8,98.6,99.1,99.1,99.1,99.3,,,98.8,,,,,,,,,,,
eng,uy,Uruguay,15_to_24_years,98.8,98.9,99.0,98.9,98.8,98.9,99.2,98.9,98.9,99.0,,,,,,,,,,,,
