idioma,cod_pais,pais,parametro,0a4,5a9,10a14,15a19,20a24,25a29,30a34,35a39,40a44,45a49,50a54,55a59,60a64,65a69,70a74,75_mas
esp,cl,Chile,pobl_migrante_hom,4690,5078,5806,4831,3153,3253,3467,3030,3035,2799,2476,2302,2542,2399,1744,3942
esp,co,Colombia,pobl_migrante_hom,6075,9088,7995,4654,3110,2925,2994,3009,2682,2273,1865,1666,1513,1141,815,1304
esp,ec,Ecuador,pobl_migrante_hom,1915,2555,3250,3301,3001,3253,3741,3955,3446,2597,2133,1628,1311,856,611,978
esp,uy,Uruguay,pobl_migrante_hom,1803,1623,1463,1149,1463,2406,3014,2589,2131,2519,3342,3899,3677,4464,4196,6092
esp,cl,Chile,pobl_migrante_muj,4456,4923,5681,4648,3033,3390,3505,3029,2679,2460,2102,1894,2122,2229,1855,4948
esp,co,Colombia,pobl_migrante_muj,6020,9139,8212,5155,3618,3099,2738,2301,1988,1809,1569,1292,1253,1041,744,1190
esp,ec,Ecuador,pobl_migrante_muj,1787,2549,3478,3800,3798,4131,4380,4135,3342,2335,1770,1317,1110,770,550,880
esp,uy,Uruguay,pobl_migrante_muj,1709,1551,1415,1188,1662,2905,3708,3226,2603,2870,3529,4112,3818,4571,4492,8927
eng,cl,Chile,migr_stock_men,4690,5078,5806,4831,3153,3253,3467,3030,3035,2799,2476,2302,2542,2399,1744,3942
eng,co,Colombia,migr_stock_men,6075,9088,7995,4654,3110,2925,2994,3009,2682,2273,1865,1666,1513,1141,815,1304
eng,ec,Ecuador,migr_stock_men,1915,2555,3250,3301,3001,3253,3741,3955,3446,2597,2133,1628,1311,856,611,978
eng,uy,Uruguay,migr_stock_men,1803,1623,1463,1149,1463,2406,3014,2589,2131,2519,3342,3899,3677,4464,4196,6092
eng,cl,Chile,migr_stock_women,4456,4923,5681,4648,3033,3390,3505,3029,2679,2460,2102,1894,2122,2229,1855,4948
eng,co,Colombia,migr_stock_women,6020,9139,8212,5155,3618,3099,2738,2301,1988,1809,1569,1292,1253,1041,744,1190
eng,ec,Ecuador,migr_stock_women,1787,2549,3478,3800,3798,4131,4380,4135,3342,2335,1770,1317,1110,770,550,880
eng,uy,Uruguay,migr_stock_women,1709,1551,1415,1188,1662,2905,3708,3226,2603,2870,3529,4112,3818,4571,4492,8927
